/informationTable,,,,,,,,,,,,,,,
/infoTable/cusip,/infoTable/investmentDiscretion,/infoTable/nameOfIssuer,/infoTable/otherManager,/infoTable/shrsOrPrnAmt/sshPrnamt,/infoTable/shrsOrPrnAmt/sshPrnamt/#agg,/infoTable/shrsOrPrnAmt/sshPrnamtType,/infoTable/titleOfClass,/infoTable/value,/infoTable/value/#agg,/infoTable/votingAuthority/None,/infoTable/votingAuthority/None/#agg,/infoTable/votingAuthority/Shared,/infoTable/votingAuthority/Shared/#agg,/infoTable/votingAuthority/Sole,/infoTable/votingAuthority/Sole/#agg
23135106,DFND,AMAZON COM INC,4,423500,423500,SH,COM,782560,782560,0,0,0,0,423500,423500
23135106,DFND,AMAZON COM INC,"4,8,11",113800,113800,SH,COM,210284,210284,0,0,0,0,113800,113800
02376R102,DFND,AMERICAN AIRLS GROUP INC,4,20742000,20742000,SH,COM,594881,594881,0,0,0,0,20742000,20742000
02376R102,DFND,AMERICAN AIRLS GROUP INC,"4,8,11",21758000,21758000,SH,COM,624019,624019,0,0,0,0,21758000,21758000
25816109,DFND,AMERICAN EXPRESS CO,4,1952142,1952142,SH,COM,243022,243022,0,0,0,0,1952142,1952142
25816109,DFND,AMERICAN EXPRESS CO,"4,5",17225400,17225400,SH,COM,2144390,2144390,0,0,0,0,17225400,17225400
25816109,DFND,AMERICAN EXPRESS CO,"4,7",839832,839832,SH,COM,104551,104551,0,0,0,0,839832,839832
25816109,DFND,AMERICAN EXPRESS CO,"4,8,11",2057100,2057100,SH,COM,256088,256088,0,0,0,0,2057100,2057100
25816109,DFND,AMERICAN EXPRESS CO,"4,10",7994634,7994634,SH,COM,995252,995252,0,0,0,0,7994634,7994634
25816109,DFND,AMERICAN EXPRESS CO,"4,11",120141879,120141879,SH,COM,14956463,14956463,0,0,0,0,120141879,120141879
25816109,DFND,AMERICAN EXPRESS CO,"4,13",1399713,1399713,SH,COM,174250,174250,0,0,0,0,1399713,1399713
37833100,DFND,APPLE INC,4,173000,173000,SH,COM,50801,50801,0,0,0,0,173000,173000
37833100,DFND,APPLE INC,"1,2,4,11",960000,960000,SH,COM,281904,281904,0,0,0,0,960000,960000
37833100,DFND,APPLE INC,"2,4,11",6065000,6065000,SH,COM,1780987,1780987,0,0,0,0,6065000,6065000
37833100,DFND,APPLE INC,"4,5",17174807,17174807,SH,COM,5043382,5043382,0,0,0,0,17174807,17174807
37833100,DFND,APPLE INC,"4,6",681000,681000,SH,COM,199976,199976,0,0,0,0,681000,681000
37833100,DFND,APPLE INC,"4,8,11",15385747,15385747,SH,COM,4518025,4518025,0,0,0,0,15385747,15385747
37833100,DFND,APPLE INC,"4,5,9",3038000,3038000,SH,COM,892109,892109,0,0,0,0,3038000,3038000
37833100,DFND,APPLE INC,"4,10",11958000,11958000,SH,COM,3511467,3511467,0,0,0,0,11958000,11958000
37833100,DFND,APPLE INC,"4,11",188098012,188098012,SH,COM,55234981,55234981,0,0,0,0,188098012,188098012
37833100,DFND,APPLE INC,"4,12",678000,678000,SH,COM,199095,199095,0,0,0,0,678000,678000
37833100,DFND,APPLE INC,"4,14",944000,944000,SH,COM,277206,277206,0,0,0,0,944000,944000
60505104,DFND,BANK AMER CORP,4,3920000,3920000,SH,COM,138062,138062,0,0,0,0,3920000,3920000
60505104,DFND,BANK AMER CORP,"1,2,4,11",11900000,11900000,SH,COM,419118,419118,0,0,0,0,11900000,11900000
60505104,DFND,BANK AMER CORP,"2,4,11",8307500,8307500,SH,COM,292590,292590,0,0,0,0,8307500,8307500
60505104,DFND,BANK AMER CORP,"3,4,5",140000000,140000000,SH,COM,4930800,4930800,0,0,0,0,140000000,140000000
60505104,DFND,BANK AMER CORP,"4,5",30628000,30628000,SH,COM,1078718,1078718,0,0,0,0,30628000,30628000
60505104,DFND,BANK AMER CORP,"4,6",2100000,2100000,SH,COM,73962,73962,0,0,0,0,2100000,2100000
60505104,DFND,BANK AMER CORP,"4,8,11",311780000,311780000,SH,COM,10980892,10980892,0,0,0,0,311780000,311780000
60505104,DFND,BANK AMER CORP,"4,5,9",11999000,11999000,SH,COM,422605,422605,0,0,0,0,11999000,11999000
60505104,DFND,BANK AMER CORP,"4,10",17275000,17275000,SH,COM,608426,608426,0,0,0,0,17275000,17275000
60505104,DFND,BANK AMER CORP,"4,11",349299100,349299100,SH,COM,12302314,12302314,0,0,0,0,349299100,349299100
60505104,DFND,BANK AMER CORP,"4,12",28000000,28000000,SH,COM,986160,986160,0,0,0,0,28000000,28000000
60505104,DFND,BANK AMER CORP,"4,14",9800000,9800000,SH,COM,345156,345156,0,0,0,0,9800000,9800000
64058100,DFND,BANK OF NEW YORK MELLON CORP,4,7511249,7511249,SH,COM,378041,378041,0,0,0,0,7511249,7511249
64058100,DFND,BANK OF NEW YORK MELLON CORP,"1,2,4,11",2148000,2148000,SH,COM,108109,108109,0,0,0,0,2148000,2148000
64058100,DFND,BANK OF NEW YORK MELLON CORP,"2,4,11",1793915,1793915,SH,COM,90288,90288,0,0,0,0,1793915,1793915
64058100,DFND,BANK OF NEW YORK MELLON CORP,"4,5",457000,457000,SH,COM,23001,23001,0,0,0,0,457000,457000
64058100,DFND,BANK OF NEW YORK MELLON CORP,"4,6",776000,776000,SH,COM,39056,39056,0,0,0,0,776000,776000
64058100,DFND,BANK OF NEW YORK MELLON CORP,"4,8,11",6490384,6490384,SH,COM,326661,326661,0,0,0,0,6490384,6490384
64058100,DFND,BANK OF NEW YORK MELLON CORP,"4,5,9",7319000,7319000,SH,COM,368365,368365,0,0,0,0,7319000,7319000
64058100,DFND,BANK OF NEW YORK MELLON CORP,"4,10",3854463,3854463,SH,COM,193995,193995,0,0,0,0,3854463,3854463
64058100,DFND,BANK OF NEW YORK MELLON CORP,"4,11",44689264,44689264,SH,COM,2249211,2249211,0,0,0,0,44689264,44689264
64058100,DFND,BANK OF NEW YORK MELLON CORP,"4,12",2140000,2140000,SH,COM,107706,107706,0,0,0,0,2140000,2140000
64058100,DFND,BANK OF NEW YORK MELLON CORP,"4,14",2585782,2585782,SH,COM,130142,130142,0,0,0,0,2585782,2585782
09062X103,DFND,BIOGEN INC,4,5425,5425,SH,COM,1610,1610,0,0,0,0,5425,5425
09062X103,DFND,BIOGEN INC,"2,4,11",468322,468322,SH,COM,138965,138965,0,0,0,0,468322,468322
09062X103,DFND,BIOGEN INC,"4,11",174700,174700,SH,COM,51839,51839,0,0,0,0,174700,174700
16119P108,DFND,CHARTER COMMUNICATIONS INC N,"4,8,11",5426609,5426609,SH,CL A,2632339,2632339,0,0,0,0,5426609,5426609
191216100,DFND,COCA COLA CO,4,800000,800000,SH,COM,44280,44280,0,0,0,0,800000,800000
191216100,DFND,COCA COLA CO,"4,5",80283200,80283200,SH,COM,4443675,4443675,0,0,0,0,80283200,80283200
191216100,DFND,COCA COLA CO,"4,6",1824000,1824000,SH,COM,100958,100958,0,0,0,0,1824000,1824000
191216100,DFND,COCA COLA CO,"4,8,11",14411200,14411200,SH,COM,797660,797660,0,0,0,0,14411200,14411200
191216100,DFND,COCA COLA CO,"4,10",14990400,14990400,SH,COM,829719,829719,0,0,0,0,14990400,14990400
191216100,DFND,COCA COLA CO,"4,11",283179200,283179200,SH,COM,15673969,15673969,0,0,0,0,283179200,283179200
191216100,DFND,COCA COLA CO,"4,12",3552000,3552000,SH,COM,196603,196603,0,0,0,0,3552000,3552000
